"Date","Time (LST/LDT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"2010/02/01","00:00","578.35","NaN","NaN","577.914","NaN","NaN","NaN","577.648","0"
"2010/03/01","00:00","578.215","NaN","NaN","577.78","NaN","NaN","NaN","577.431","0"
"2010/04/01","00:00","578.31","NaN","NaN","577.802","NaN","NaN","NaN","577.31","0"
"2010/05/01","00:00","578.35","NaN","NaN","577.861","NaN","NaN","NaN","577.395","0"
"2010/06/01","00:00","578.632","NaN","NaN","578.083","NaN","NaN","NaN","577.503","0"
"2010/07/01","00:00","578.763","NaN","NaN","578.329","NaN","NaN","NaN","577.864","0"
"2010/08/01","00:00","578.76","NaN","NaN","578.303","NaN","NaN","NaN","577.864","0"
"2010/09/01","00:00","578.825","NaN","NaN","578.061","NaN","NaN","NaN","577.392","0"
"2010/10/01","00:00","578.205","NaN","NaN","577.77","NaN","NaN","NaN","577.044","0"
"2010/11/01","00:00","577.894","NaN","NaN","577.283","NaN","NaN","NaN","576.526","0"
"2010/12/01","00:00","577.769","NaN","NaN","577.149","NaN","NaN","NaN","576.47","0"
"2011/01/01","00:00","577.244","NaN","NaN","576.878","NaN","NaN","NaN","576.289","0"
"2011/02/01","00:00","577.51","NaN","NaN","576.772","NaN","NaN","NaN","576.175","0"
"2011/03/01","00:00","577.365","NaN","NaN","576.868","NaN","NaN","NaN","576.188","0"
"2011/04/01","00:00","577.89","NaN","NaN","577.128","NaN","NaN","NaN","576.25","0"
"2011/05/01","00:00","578.478","NaN","NaN","577.763","NaN","NaN","NaN","576.946","0"
"2011/06/01","00:00","578.642","NaN","NaN","578.119","NaN","NaN","NaN","577.618","0"
"2011/07/01","00:00","579.098","NaN","NaN","578.336","NaN","NaN","NaN","578.058","0"
"2011/08/01","00:00","578.72","NaN","NaN","578.325","NaN","NaN","NaN","577.943","0"
"2011/09/01","00:00","578.553","NaN","NaN","577.932","NaN","NaN","NaN","577.293","0"
"2011/10/01","00:00","578.543","NaN","NaN","577.8","NaN","NaN","NaN","577.421","0"
"2011/11/01","00:00","578.287","NaN","NaN","577.664","NaN","NaN","NaN","576.562","0"
"2011/12/01","00:00","578.215","NaN","NaN","577.606","NaN","NaN","NaN","577.116","0"
"2012/01/01","00:00","578.271","NaN","NaN","577.462","NaN","NaN","NaN","576.726","0"
"2012/02/01","00:00","577.884","NaN","NaN","577.383","NaN","NaN","NaN","576.68","0"
"2012/03/01","00:00","578.13","NaN","NaN","577.413","NaN","NaN","NaN","576.719","0"
"2012/04/01","00:00","578.002","NaN","NaN","577.596","NaN","NaN","NaN","577.064","0"
"2012/05/01","00:00","578.343","NaN","NaN","577.607","NaN","NaN","NaN","576.64","0"
"2012/06/01","00:00","578.14","NaN","NaN","577.698","NaN","NaN","NaN","577.31","0"
"2012/07/01","00:00","578.041","NaN","NaN","577.596","NaN","NaN","NaN","577.028","0"
"2012/08/01","00:00","577.808","NaN","NaN","577.426","NaN","NaN","NaN","577.064","0"
"2012/09/01","00:00","577.572","NaN","NaN","577.075","NaN","NaN","NaN","576.512","0"
"2012/10/01","00:00","577.687","NaN","NaN","576.645","NaN","NaN","NaN","575.909","0"
"2012/11/01","00:00","577.221","NaN","NaN","576.431","NaN","NaN","NaN","575.83","0"
"2012/12/01","00:00","576.752","NaN","NaN","576.186","NaN","NaN","NaN","575.469","0"
"2013/01/01","00:00","576.729","NaN","NaN","576.088","NaN","NaN","NaN","575.577","0"
"2013/02/01","00:00","576.614","NaN","NaN","576.18","NaN","NaN","NaN","575.472","0"
"2013/03/01","00:00","576.732","NaN","NaN","576.327","NaN","NaN","NaN","575.659","0"
"2013/04/01","00:00","577.26","NaN","NaN","576.605","NaN","NaN","NaN","575.761","0"
